time.week,hazard,lower.ci,upper.ci
58.57142857,0.010617937,0.008696005,0.012964642
59,0.010617004,0.008697682,0.012959864
59.42857143,0.010616071,0.008698704,0.012956063
60.14285714,0.010614515,0.008698946,0.012951907
60.71428571,0.010613271,0.008697821,0.012950545
61,0.010612649,0.00869682,0.012950518
61.14285714,0.010612338,0.008696209,0.012950668
61.85714286,0.010610783,0.008692063,0.01295305
62,0.010610472,0.008691015,0.012953852
62.71428571,0.010608918,0.008684694,0.012959482
62.85714286,0.010608607,0.008683214,0.012960931
64.14285714,0.010605809,0.008666704,0.012978774
65.14285714,0.010603634,0.008649972,0.012998546
65.85714286,0.01060208,0.008635998,0.013015763
67.42857143,0.010583326,0.008600863,0.013022739
67.57142857,0.010578228,0.008597563,0.013015189
68.42857143,0.01054769,0.008576289,0.012972251
68.71428571,0.010537531,0.008568637,0.012958835
69.14285714,0.01052231,0.008556635,0.012939549
70.28571429,0.010481827,0.008521575,0.012893004
72.28571429,0.010411358,0.008449741,0.012828365
72.57142857,0.010401329,0.008438421,0.012820841
74.42857143,0.01033638,0.008358685,0.012782004
75.28571429,0.01030654,0.008318441,0.012769793
75.71428571,0.010291653,0.008297546,0.012764994
76,0.01028174,0.008283337,0.012762269
77.71428571,0.010182508,0.008200267,0.012643914
78.14285714,0.010155618,0.008178507,0.012610684
79.42857143,0.010075372,0.008109948,0.012517112
80.28571429,0.010022228,0.008061573,0.012459735
80.42857143,0.010013398,0.008053308,0.012450554
80.71428571,0.009995761,0.008036607,0.012432516
82,0.009916779,0.007958706,0.012356595
82.57142857,0.009881876,0.00792269,0.012325546
84.28571429,0.009777904,0.007809829,0.012241933
84.71428571,0.009752082,0.00778055,0.012223185
85.42857143,0.009709197,0.007730871,0.012193776
85.71428571,0.00969056,0.007710962,0.012178372
86.42857143,0.009628851,0.007662931,0.012099126
87.28571429,0.009555318,0.007603651,0.012007928
87.42857143,0.009543117,0.0075936,0.011993136
88.85714286,0.009421963,0.007490486,0.011851485
91.28571429,0.00921952,0.007305025,0.011635764
91.42857143,0.009207748,0.007293748,0.011624013
92,0.00916081,0.007248261,0.01157801
93.28571429,0.009056072,0.007143823,0.011480191
93.57142857,0.009032961,0.007120245,0.01145949
94.14285714,0.008986914,0.007072716,0.011419179
95,0.008918283,0.007000544,0.011361371
95.28571429,0.008889821,0.006978453,0.011324704
96.71428571,0.008748867,0.006865796,0.011148404
97,0.008720945,0.006842838,0.011114523
98.42857143,0.008582669,0.006726043,0.010951789
98.57142857,0.008568962,0.006714187,0.010936114
98.85714286,0.008541615,0.006690384,0.010905082
99.14285714,0.008514355,0.00666646,0.010874472
100.2857143,0.008406182,0.006569624,0.010756156
100.4285714,0.008392757,0.006557397,0.01074182
101.7142857,0.008272896,0.006446234,0.010617178
102.2857143,0.008220176,0.006396231,0.010564236
104.7142857,0.007997069,0.006185915,0.010338504
107,0.007778581,0.006011009,0.010065917
107.7142857,0.007711535,0.005955009,0.009986177
108.4285714,0.007645068,0.005898429,0.009908919
109.7142857,0.007526866,0.005795247,0.009775894
115,0.007065406,0.00538548,0.009269362
115.5714286,0.007019057,0.005348941,0.00921064
